Поз.,Обозначение (DT),Наименование,Кол.,Заказной номер,Изготовитель
0,,Щит с монтажной панелью 800x600x300мм IP66,1,R5ST0863,DKC
1,,Распределительный блок 1 полюс РБД-80А,1,RBD-80,IEK
2,,Шина PE ШНИ-8х12-10,2,YNN10-812-10DP-K05,IEK
3,-BK1,Silart Термостат NO (охлаждение) 0 - +60 °C,1,TBS-260,Silart
4,-DD1,Программируемое реле ПР103-24.1610.06.2.0,1,ПР103-24.1610.06.2.0,OWEN
5,-DD2,"Операторская панель EKF RSC-7E, 7""",1,RSC-7E,EKF
6,-GU1,"Блок питания Mean Well 24В, 2.5 А",1,MDR-60-24,MEAN WELL
7,-HL1,"Лампа сигнальная, желтая, 220V, LED AC/DC",1,10242203,Picco
9,-K1...-K3,"РЕЛЕ RFT2CO730, 2CO, 8A переменный ток",3,RFT2CO730,Shenler
10,-K1...-K3,ЦОКОЛЬ SRU08-E для RFT2CO,3,SRU08-E,Shenler
12,-KF1,Реле контроля фаз 380В ЕЛ-11М-15,1,4640016933174,Меандр
13,-M1,"Вентилятор с фильтром KIPVENT-200.11.230, 85 м3/ч",1,124464,KIPPRIBOR
14,-M1,Вентиляционная решётка с фильтром KIPVENT-200.01.300,1,46186,KIPPRIBOR
15,-QF1...-QF3,Автоматический выключатель 3P 6А х-ка С ВА103,3,12301DEK,DEKraft
16,-QS1,Выключатель нагрузки NF2-25/3DIR 3P 25А,1,324155,CHINT
17,-SF1;-SF2,Авт. выкл. ВА-101-1P-06А-С,2,11052DEK,DEKraft
18,-UZ1...-UZ3,Частотный преобразователь NCI-G0.75/P1.5-4B (RS-485 ModBus),3,NCI-G0.75/P1.5-4B,INSTART
19,-XS1,Держатель предохранителя ASK2S серый,6,351109,Klemsan
22,-XT1,Клемма синяя 4 кв мм,1,30904131,Klemsan
23,-XT1..XT5,"Клемма ж/з 2,5-4 кв мм",11,30934450,Klemsan
24,-XT2..XT5,"Клемма серая 2,5 кв мм",21,30904200,Klemsan
25,-XT2.2,"Клемма синяя 2,5 кв мм",5,30904201,Klemsan
26,-XT3;-XT9,"Клемма серая 2x2,5 кв мм",12,325249,Klemsan
27,-XT3;-XT9,"Изолятор торцевой для AVK 2x2,5",2,449019,Klemsan
