width_mm,height_mm,depth_mm,mount_panel,din_inclined,cable_entries,breakers_le63,load_switches,contactors,rcd,freq_converters,soft_starters,power_supplies,phase_relays,relays,fans,thermostats,fuse_holders,signal_lamps,analog_4_20mA,interfaces_count,terminals,ip_rating,plc_type,hmi_type,baseline_hours,actual_hours
1200,1000,400,1,1,6,2,0,2,0,0,0,0,0,0,0,0,1,5,5,3,36,IP66,Релейное,"Свыше 7""",12.01,11.79
400,300,200,1,0,7,9,1,5,2,0,0,1,0,5,2,1,3,0,0,0,78,IP54,Нет,"До 7""",14.12,14.19
2000,800,600,1,0,12,7,0,3,2,1,0,1,0,5,0,0,6,2,7,1,60,IP65,Релейное,"До 7""",16.49,16.54
400,300,200,1,0,11,9,0,3,2,3,0,1,0,5,0,0,4,0,6,2,66,IP65,Релейное,Нет,19.14,18.17
1000,800,300,1,0,10,7,0,2,1,1,0,1,1,2,1,1,0,4,8,3,52,IP65,Компактный ПЛК,Нет,15.85,16.11
400,300,200,1,1,9,6,1,2,1,3,0,1,0,4,0,0,6,1,8,1,75,IP66,Релейное,Нет,20.77,21.87
1000,800,300,1,0,7,5,1,2,1,0,0,1,1,0,2,1,6,0,7,1,39,IP65,Компактный ПЛК,Нет,12.42,12.48
800,600,300,1,0,11,10,0,2,0,3,0,1,0,2,0,0,4,2,6,2,69,IP54,Релейное,Нет,18.93,18.6
400,300,200,1,0,7,6,1,4,2,0,0,1,0,4,0,0,1,1,0,1,60,IP65,Компактный ПЛК,Нет,11.34,11.25
400,300,200,1,0,9,7,0,4,0,0,1,1,0,5,0,0,7,0,6,2,67,IP54,Релейное,"До 7""",15.68,14.61
600,600,250,1,1,5,6,0,3,2,1,1,1,0,0,0,0,3,3,0,0,35,IP21,Нет,Нет,9.75,9.72
400,300,200,1,0,12,10,1,4,0,4,0,0,0,4,1,1,7,1,3,3,67,IP65,Компактный ПЛК,"До 7""",20.52,20.57
600,400,250,1,0,13,11,1,7,2,1,0,1,1,4,1,1,2,4,4,2,95,IP54,Компактный ПЛК,Нет,20.02,18.5
